20230917
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
39600 12.34262 9.26141 9.50518 "2023-09-17 17:00:00" "2023-09-17 16:30:00"
39600 12.34262 9.26141 9.57124 "2023-09-17 17:00:00" "2023-09-17 16:40:00"
39600 12.34262 9.26141 12.15705 "2023-09-17 17:00:00" "2023-09-17 16:50:00"
39600 12.34262 9.26141 12.33358 "2023-09-17 17:00:00" "2023-09-17 17:00:00"
40200 13.05082 9.72441 8.95717 "2023-09-17 17:10:00" "2023-09-17 16:20:00"
40200 13.05082 9.72441 9.38110 "2023-09-17 17:10:00" "2023-09-17 16:30:00"
40200 13.05082 9.72441 9.45591 "2023-09-17 17:10:00" "2023-09-17 16:40:00"
40200 13.05082 9.72441 12.70969 "2023-09-17 17:10:00" "2023-09-17 16:50:00"
40200 13.05082 9.72441 12.88568 "2023-09-17 17:10:00" "2023-09-17 17:00:00"
40200 13.05082 9.72441 12.94691 "2023-09-17 17:10:00" "2023-09-17 17:10:00"
40800 14.14426 10.05226 9.27689 "2023-09-17 17:20:00" "2023-09-17 16:30:00"
40800 14.14426 10.05226 9.37104 "2023-09-17 17:20:00" "2023-09-17 16:40:00"
40800 14.14426 10.05226 13.17604 "2023-09-17 17:20:00" "2023-09-17 16:50:00"
40800 14.14426 10.05226 13.37378 "2023-09-17 17:20:00" "2023-09-17 17:00:00"
40800 14.14426 10.05226 13.58044 "2023-09-17 17:20:00" "2023-09-17 17:10:00"
40800 14.14426 10.05226 13.91291 "2023-09-17 17:20:00" "2023-09-17 17:20:00"
41400 15.59508 10.31707 9.66204 "2023-09-17 17:30:00" "2023-09-17 16:40:00"
41400 15.59508 10.31707 14.06130 "2023-09-17 17:30:00" "2023-09-17 16:50:00"
41400 15.59508 10.31707 14.30042 "2023-09-17 17:30:00" "2023-09-17 17:00:00"
41400 15.59508 10.31707 14.66187 "2023-09-17 17:30:00" "2023-09-17 17:10:00"
41400 15.59508 10.31707 15.17803 "2023-09-17 17:30:00" "2023-09-17 17:20:00"
41400 15.59508 10.31707 15.59510 "2023-09-17 17:30:00" "2023-09-17 17:30:00"
42000 16.68033 10.46016 14.92446 "2023-09-17 17:40:00" "2023-09-17 16:50:00"
42000 16.68033 10.46016 15.19007 "2023-09-17 17:40:00" "2023-09-17 17:00:00"
42000 16.68033 10.46016 15.62601 "2023-09-17 17:40:00" "2023-09-17 17:10:00"
42000 16.68033 10.46016 16.30262 "2023-09-17 17:40:00" "2023-09-17 17:20:00"
42000 16.68033 10.46016 16.74503 "2023-09-17 17:40:00" "2023-09-17 17:30:00"
42000 16.68033 10.46016 17.00769 "2023-09-17 17:40:00" "2023-09-17 17:40:00"
42600 16.79672 10.45259 15.58835 "2023-09-17 17:50:00" "2023-09-17 17:00:00"
42600 16.79672 10.45259 16.10098 "2023-09-17 17:50:00" "2023-09-17 17:10:00"
42600 16.79672 10.45259 16.89486 "2023-09-17 17:50:00" "2023-09-17 17:20:00"
42600 16.79672 10.45259 17.36780 "2023-09-17 17:50:00" "2023-09-17 17:30:00"
42600 16.79672 10.45259 17.99502 "2023-09-17 17:50:00" "2023-09-17 17:40:00"
42600 16.79672 10.45259 17.02861 "2023-09-17 17:50:00" "2023-09-17 17:50:00"
43200 17.22951 10.04618 16.35933 "2023-09-17 18:00:00" "2023-09-17 17:10:00"
43200 17.22951 10.04618 17.28376 "2023-09-17 18:00:00" "2023-09-17 17:20:00"
43200 17.22951 10.04618 17.84147 "2023-09-17 18:00:00" "2023-09-17 17:30:00"
43200 17.22951 10.04618 18.83108 "2023-09-17 18:00:00" "2023-09-17 17:40:00"
43200 17.22951 10.04618 17.41216 "2023-09-17 18:00:00" "2023-09-17 17:50:00"
43200 17.22951 10.04618 16.96619 "2023-09-17 18:00:00" "2023-09-17 18:00:00"
43800 18.20820 9.81485 17.43749 "2023-09-17 18:10:00" "2023-09-17 17:20:00"
43800 18.20820 9.81485 18.07061 "2023-09-17 18:10:00" "2023-09-17 17:30:00"
43800 18.20820 9.81485 19.24565 "2023-09-17 18:10:00" "2023-09-17 17:40:00"
43800 18.20820 9.81485 17.64143 "2023-09-17 18:10:00" "2023-09-17 17:50:00"
43800 18.20820 9.81485 17.05506 "2023-09-17 18:10:00" "2023-09-17 18:00:00"
43800 18.20820 9.81485 18.23322 "2023-09-17 18:10:00" "2023-09-17 18:10:00"
44400 18.80820 10.02055 17.88109 "2023-09-17 18:20:00" "2023-09-17 17:30:00"
44400 18.80820 10.02055 19.28326 "2023-09-17 18:20:00" "2023-09-17 17:40:00"
44400 18.80820 10.02055 17.41223 "2023-09-17 18:20:00" "2023-09-17 17:50:00"
44400 18.80820 10.02055 16.79959 "2023-09-17 18:20:00" "2023-09-17 18:00:00"
44400 18.80820 10.02055 18.94072 "2023-09-17 18:20:00" "2023-09-17 18:10:00"
44400 18.80820 10.02055 18.84024 "2023-09-17 18:20:00" "2023-09-17 18:20:00"
45000 18.89672 10.64310 18.72301 "2023-09-17 18:30:00" "2023-09-17 17:40:00"
45000 18.89672 10.64310 16.55437 "2023-09-17 18:30:00" "2023-09-17 17:50:00"
45000 18.89672 10.64310 15.82366 "2023-09-17 18:30:00" "2023-09-17 18:00:00"
45000 18.89672 10.64310 18.66542 "2023-09-17 18:30:00" "2023-09-17 18:10:00"
45000 18.89672 10.64310 18.52408 "2023-09-17 18:30:00" "2023-09-17 18:20:00"
45000 18.89672 10.64310 18.78585 "2023-09-17 18:30:00" "2023-09-17 18:30:00"
45600 18.92459 11.57219 15.79460 "2023-09-17 18:40:00" "2023-09-17 17:50:00"
45600 18.92459 11.57219 14.96964 "2023-09-17 18:40:00" "2023-09-17 18:00:00"
45600 18.92459 11.57219 18.29920 "2023-09-17 18:40:00" "2023-09-17 18:10:00"
45600 18.92459 11.57219 18.15630 "2023-09-17 18:40:00" "2023-09-17 18:20:00"
45600 18.92459 11.57219 18.84941 "2023-09-17 18:40:00" "2023-09-17 18:30:00"
45600 18.92459 11.57219 19.07545 "2023-09-17 18:40:00" "2023-09-17 18:40:00"
46200 19.01967 12.84426 14.65237 "2023-09-17 18:50:00" "2023-09-17 18:00:00"
46200 19.01967 12.84426 18.54605 "2023-09-17 18:50:00" "2023-09-17 18:10:00"
46200 19.01967 12.84426 18.37889 "2023-09-17 18:50:00" "2023-09-17 18:20:00"
46200 19.01967 12.84426 19.39715 "2023-09-17 18:50:00" "2023-09-17 18:30:00"
46200 19.01967 12.84426 19.66566 "2023-09-17 18:50:00" "2023-09-17 18:40:00"
46200 19.01967 12.84426 18.98815 "2023-09-17 18:50:00" "2023-09-17 18:50:00"
46800 19.06393 14.29455 19.06621 "2023-09-17 19:00:00" "2023-09-17 18:10:00"
46800 19.06393 14.29455 18.88089 "2023-09-17 19:00:00" "2023-09-17 18:20:00"
46800 19.06393 14.29455 20.06379 "2023-09-17 19:00:00" "2023-09-17 18:30:00"
46800 19.06393 14.29455 20.34934 "2023-09-17 19:00:00" "2023-09-17 18:40:00"
46800 19.06393 14.29455 19.06932 "2023-09-17 19:00:00" "2023-09-17 18:50:00"
46800 19.06393 14.29455 19.27182 "2023-09-17 19:00:00" "2023-09-17 19:00:00"
47400 18.95574 15.42832 19.31984 "2023-09-17 19:10:00" "2023-09-17 18:20:00"
47400 18.95574 15.42832 20.72291 "2023-09-17 19:10:00" "2023-09-17 18:30:00"
47400 18.95574 15.42832 21.06733 "2023-09-17 19:10:00" "2023-09-17 18:40:00"
47400 18.95574 15.42832 19.37257 "2023-09-17 19:10:00" "2023-09-17 18:50:00"
47400 18.95574 15.42832 19.75103 "2023-09-17 19:10:00" "2023-09-17 19:00:00"
47400 18.95574 15.42832 19.14648 "2023-09-17 19:10:00" "2023-09-17 19:10:00"
48000 18.82131 16.08160 21.61421 "2023-09-17 19:20:00" "2023-09-17 18:30:00"
48000 18.82131 16.08160 22.00395 "2023-09-17 19:20:00" "2023-09-17 18:40:00"
48000 18.82131 16.08160 20.00239 "2023-09-17 19:20:00" "2023-09-17 18:50:00"
48000 18.82131 16.08160 20.51922 "2023-09-17 19:20:00" "2023-09-17 19:00:00"
48000 18.82131 16.08160 19.55280 "2023-09-17 19:20:00" "2023-09-17 19:10:00"
