20230926
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
43800 26.54466 60.54843 31.56250 "2023-09-27 06:10:00" "2023-09-27 05:40:00"
43800 26.54466 60.54843 30.55714 "2023-09-27 06:10:00" "2023-09-27 05:50:00"
43800 26.54466 60.54843 19.20000 "2023-09-27 06:10:00" "2023-09-27 06:00:00"
43800 26.54466 60.54843 42.22500 "2023-09-27 06:10:00" "2023-09-27 06:10:00"
44400 32.45451 59.85894 14.17143 "2023-09-27 06:20:00" "2023-09-27 05:30:00"
44400 32.45451 59.85894 31.56250 "2023-09-27 06:20:00" "2023-09-27 05:40:00"
44400 32.45451 59.85894 30.55714 "2023-09-27 06:20:00" "2023-09-27 05:50:00"
44400 32.45451 59.85894 19.20000 "2023-09-27 06:20:00" "2023-09-27 06:00:00"
44400 32.45451 59.85894 42.22500 "2023-09-27 06:20:00" "2023-09-27 06:10:00"
44400 32.45451 59.85894 38.86250 "2023-09-27 06:20:00" "2023-09-27 06:20:00"
44400 32.45451 59.85894 14.17143 "2023-09-27 06:20:00" "2023-09-27 05:30:00"
44400 32.45451 59.85894 31.56250 "2023-09-27 06:20:00" "2023-09-27 05:40:00"
44400 32.45451 59.85894 30.55714 "2023-09-27 06:20:00" "2023-09-27 05:50:00"
44400 32.45451 59.85894 19.20000 "2023-09-27 06:20:00" "2023-09-27 06:00:00"
44400 32.45451 59.85894 42.22500 "2023-09-27 06:20:00" "2023-09-27 06:10:00"
44400 32.45451 59.85894 38.86250 "2023-09-27 06:20:00" "2023-09-27 06:20:00"
44400 32.45451 59.85894 14.17143 "2023-09-27 06:20:00" "2023-09-27 05:30:00"
44400 32.45451 59.85894 31.56250 "2023-09-27 06:20:00" "2023-09-27 05:40:00"
44400 32.45451 59.85894 30.55714 "2023-09-27 06:20:00" "2023-09-27 05:50:00"
44400 32.45451 59.85894 19.20000 "2023-09-27 06:20:00" "2023-09-27 06:00:00"
44400 32.45451 59.85894 42.22500 "2023-09-27 06:20:00" "2023-09-27 06:10:00"
44400 32.45451 59.85894 38.86250 "2023-09-27 06:20:00" "2023-09-27 06:20:00"
44400 32.45451 59.85894 14.17143 "2023-09-27 06:20:00" "2023-09-27 05:30:00"
44400 32.45451 59.85894 31.56250 "2023-09-27 06:20:00" "2023-09-27 05:40:00"
44400 32.45451 59.85894 30.55714 "2023-09-27 06:20:00" "2023-09-27 05:50:00"
44400 32.45451 59.85894 19.20000 "2023-09-27 06:20:00" "2023-09-27 06:00:00"
44400 32.45451 59.85894 42.22500 "2023-09-27 06:20:00" "2023-09-27 06:10:00"
44400 32.45451 59.85894 38.86250 "2023-09-27 06:20:00" "2023-09-27 06:20:00"
44400 32.45451 59.85894 14.17143 "2023-09-27 06:20:00" "2023-09-27 05:30:00"
44400 32.45451 59.85894 31.56250 "2023-09-27 06:20:00" "2023-09-27 05:40:00"
44400 32.45451 59.85894 30.55714 "2023-09-27 06:20:00" "2023-09-27 05:50:00"
44400 32.45451 59.85894 19.20000 "2023-09-27 06:20:00" "2023-09-27 06:00:00"
44400 32.45451 59.85894 42.22500 "2023-09-27 06:20:00" "2023-09-27 06:10:00"
44400 32.45451 59.85894 38.86250 "2023-09-27 06:20:00" "2023-09-27 06:20:00"
44400 32.45451 59.85894 14.17143 "2023-09-27 06:20:00" "2023-09-27 05:30:00"
44400 32.45451 59.85894 31.56250 "2023-09-27 06:20:00" "2023-09-27 05:40:00"
44400 32.45451 59.85894 30.55714 "2023-09-27 06:20:00" "2023-09-27 05:50:00"
44400 32.45451 59.85894 19.20000 "2023-09-27 06:20:00" "2023-09-27 06:00:00"
44400 32.45451 59.85894 42.22500 "2023-09-27 06:20:00" "2023-09-27 06:10:00"
44400 32.45451 59.85894 38.86250 "2023-09-27 06:20:00" "2023-09-27 06:20:00"
45000 38.84749 60.32019 31.56250 "2023-09-27 06:30:00" "2023-09-27 05:40:00"
45000 38.84749 60.32019 30.55714 "2023-09-27 06:30:00" "2023-09-27 05:50:00"
45000 38.84749 60.32019 19.20000 "2023-09-27 06:30:00" "2023-09-27 06:00:00"
45000 38.84749 60.32019 42.22500 "2023-09-27 06:30:00" "2023-09-27 06:10:00"
45000 38.84749 60.32019 38.86250 "2023-09-27 06:30:00" "2023-09-27 06:20:00"
45000 38.84749 60.32019 49.95714 "2023-09-27 06:30:00" "2023-09-27 06:30:00"
45000 38.84749 60.32019 31.56250 "2023-09-27 06:30:00" "2023-09-27 05:40:00"
45000 38.84749 60.32019 30.55714 "2023-09-27 06:30:00" "2023-09-27 05:50:00"
45000 38.84749 60.32019 19.20000 "2023-09-27 06:30:00" "2023-09-27 06:00:00"
45000 38.84749 60.32019 42.22500 "2023-09-27 06:30:00" "2023-09-27 06:10:00"
45000 38.84749 60.32019 38.86250 "2023-09-27 06:30:00" "2023-09-27 06:20:00"
45000 38.84749 60.32019 49.95714 "2023-09-27 06:30:00" "2023-09-27 06:30:00"
45000 38.84749 60.32019 31.56250 "2023-09-27 06:30:00" "2023-09-27 05:40:00"
45000 38.84749 60.32019 30.55714 "2023-09-27 06:30:00" "2023-09-27 05:50:00"
