20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
48000 1.57369 2.91433 1.41052 "2023-09-02 07:20:00" "2023-09-02 06:30:00"
48000 1.57369 2.91433 1.35775 "2023-09-02 07:20:00" "2023-09-02 06:40:00"
48000 1.57369 2.91433 1.50121 "2023-09-02 07:20:00" "2023-09-02 06:50:00"
48000 1.57369 2.91433 1.55933 "2023-09-02 07:20:00" "2023-09-02 07:00:00"
48000 1.57369 2.91433 1.61220 "2023-09-02 07:20:00" "2023-09-02 07:10:00"
48000 1.57369 2.91433 1.64400 "2023-09-02 07:20:00" "2023-09-02 07:20:00"
48600 1.67198 2.81911 1.28826 "2023-09-02 07:30:00" "2023-09-02 06:40:00"
48600 1.67198 2.81911 1.45464 "2023-09-02 07:30:00" "2023-09-02 06:50:00"
48600 1.67198 2.81911 1.52333 "2023-09-02 07:30:00" "2023-09-02 07:00:00"
48600 1.67198 2.81911 1.58821 "2023-09-02 07:30:00" "2023-09-02 07:10:00"
48600 1.67198 2.81911 1.65763 "2023-09-02 07:30:00" "2023-09-02 07:20:00"
48600 1.67198 2.81911 1.67272 "2023-09-02 07:30:00" "2023-09-02 07:30:00"
49200 1.80375 2.77910 1.48210 "2023-09-02 07:40:00" "2023-09-02 06:50:00"
49200 1.80375 2.77910 1.55721 "2023-09-02 07:40:00" "2023-09-02 07:00:00"
49200 1.80375 2.77910 1.63236 "2023-09-02 07:40:00" "2023-09-02 07:10:00"
49200 1.80375 2.77910 1.72921 "2023-09-02 07:40:00" "2023-09-02 07:20:00"
49200 1.80375 2.77910 1.74758 "2023-09-02 07:40:00" "2023-09-02 07:30:00"
49200 1.80375 2.77910 1.69451 "2023-09-02 07:40:00" "2023-09-02 07:40:00"
49800 1.80767 2.72857 1.55918 "2023-09-02 07:50:00" "2023-09-02 07:00:00"
49800 1.80767 2.72857 1.63914 "2023-09-02 07:50:00" "2023-09-02 07:10:00"
49800 1.80767 2.72857 1.75731 "2023-09-02 07:50:00" "2023-09-02 07:20:00"
49800 1.80767 2.72857 1.78014 "2023-09-02 07:50:00" "2023-09-02 07:30:00"
49800 1.80767 2.72857 1.69090 "2023-09-02 07:50:00" "2023-09-02 07:40:00"
